LINK_ID,terrain_shadow_ratio,terrain_shadow_max,building_shadow_ratio,building_shadow_mean_hours,building_shadow_max_hours,building_shadow_peak_ratio,combined_shadow_ratio,terrain_shadow_percent,building_shadow_percent,combined_shadow_percent
1840003307,0.0,0.0,0.374331550802139,3.1818181818181817,5.0,0.9090909090909092,0.374331550802139,0.0,37.4,37.4
1840003308,0.0470588237047195,0.0588235296308994,0.5294117647058824,4.5,6.5,0.9230769230769232,0.5515570935081033,4.7,52.9,55.2
1840003309,0.0588235296308994,0.0588235296308994,0.4176470588235294,3.55,5.0,1.0,0.45190311431446506,5.9,41.8,45.2
1840003400,0.0,0.0,0.2727272727272727,2.3181818181818183,3.5,0.8181818181818182,0.2727272727272727,0.0,27.3,27.3
1840003401,0.0,0.0,0.4313725490196078,3.6666666666666665,4.5,1.0,0.43137254901960786,0.0,43.1,43.1
1840003402,0.0504201682550566,0.0588235296308994,0.3460207612456747,2.9411764705882355,5.0,0.8235294117647058,0.37899450449898164,5.0,34.6,37.9
1840003403,0.0235294118523597,0.0588235296308994,0.3101604278074866,2.636363636363636,5.5,0.8181818181818182,0.3263919472136598,2.4,31.0,32.6
1840003404,0.0588235296308994,0.0588235296308994,0.28719723183391,2.4411764705882355,5.0,0.9411764705882352,0.3291268065881151,5.9,28.7,32.9
1840003407,0.0,0.0,0.4394463667820069,3.735294117647059,5.5,0.9411764705882352,0.4394463667820069,0.0,43.9,43.9
1840003409,0.0588235296308994,0.0588235296308994,0.3393665158371041,2.8846153846153846,5.0,0.9230769230769232,0.3782273091679246,5.9,33.9,37.8
1840003500,0.0,0.0,0.2352941176470588,2.0,2.5,1.0,0.23529411764705876,0.0,23.5,23.5
1840003501,0.0,0.0,0.2647058823529412,2.25,2.5,1.0,0.2647058823529411,0.0,26.5,26.5
1840003502,0.0,0.0,0.4044117647058823,3.4375,4.5,1.0,0.40441176470588225,0.0,40.4,40.4
1840003503,0.0084033613758427,0.0588235296308994,0.349673202614379,2.9722222222222223,6.0,0.7222222222222222,0.35513813370520475,0.8,35.0,35.5
1840003504,0.0,0.0,0.5490196078431373,4.666666666666667,7.5,0.75,0.5490196078431373,0.0,54.9,54.9
1840003600,0.0,0.0,0.2558823529411764,2.175,4.5,0.65,0.25588235294117645,0.0,25.6,25.6
1840003601,0.0,0.0,0.0196078431372549,0.1666666666666666,0.5,0.3333333333333333,0.019607843137254943,0.0,2.0,2.0
1840003602,0.0084033613758427,0.0588235296308994,0.0326797385620915,0.2777777777777778,1.0,0.3333333333333333,0.040808480285128956,0.8,3.3,4.1
1840003603,0.0,0.0,0.0392156862745098,0.3333333333333333,0.5,0.6666666666666666,0.039215686274509776,0.0,3.9,3.9
1840003701,0.0196078432102998,0.0588235296308994,0.4033613445378151,3.4285714285714284,5.0,0.8571428571428571,0.41506014174732164,2.0,40.3,41.5
1840003702,0.0,0.0,0.803921568627451,6.833333333333333,8.0,1.0,0.803921568627451,0.0,80.4,80.4
1840003703,0.0294117648154497,0.0588235296308994,0.6862745098039216,5.833333333333333,6.5,1.0,0.6955017301381803,2.9,68.6,69.6
1840003704,0.0588235296308994,0.0588235296308994,0.4705882352941176,4.0,4.5,1.0,0.5017301039222408,5.9,47.1,50.2
1840003705,0.0294117648154497,0.0588235296308994,0.5882352941176471,5.0,5.5,1.0,0.6003460208063617,2.9,58.8,60.0
1840003706,0.0252100841275283,0.0588235296308994,0.6470588235294118,5.5,8.0,1.0,0.6559565002803042,2.5,64.7,65.6
1840003801,0.0147058824077248,0.0588235296308994,0.2222222222222222,1.8888888888888888,3.0,0.7777777777777778,0.23366013076156367,1.5,22.2,23.4
