LINK_ID,ROAD_NAME,교량명
1870487900,대전천북로,세월교
1860212900,원신흥로,상대교
1870013606,한남로88번길,한남육교(한남대방향)
1870013606,한남로88번길,한남육교(오거리방향)
1870015701,오정로76번길,
1850207800,동서대로,도안호수교
1840161700,대전남부순환고속도로,안영IC1교
1860654802,계룡로59번길,봉명교
1830015201,산서로,대별교
1860353700,엑스포로,전민육교
1860023900,대정북로,한우물교
1850324700,대전남부순환고속도로,서대전IC2교
1860072300,동서대로,구덕교
1860062200,온천서로,장명교
1850064300,대덕대로,괴정육교
1830189900,통영대전고속도로,세천2교
1860211400,원신흥로,상대교
1840184600,유등천동로,용문교
1850057300,유등로,유등천좌안1교
1860680301,원계산로,대정육교
1840194102,계룡로,계룡육교
1870160100,동부로,가양대교
1870487000,한남로,한남대교
1840166600,대전남부순환고속도로,무수3교
1870486000,-,한남대교
1830056306,하상도로,보문교
1830056306,하상도로,인창교
1870482000,방두말5길,
1840121700,산서로,무수1교
1870013501,한남로88번길,
1860241700,천변도시고속도로,한빛대교
1860241700,천변도시고속도로,철도
1840126600,운남로,구완2교
1840126600,운남로,
1870487601,대전천북로,한남대교
1860108302,은구비로,죽전교
1860598203,관용로,
1850096001,갑천도시고속도로,계룡대교
1850096001,갑천도시고속도로,만년교
1840058500,대전천북로,현암교
1870003800,경부고속도로,호남고속도로지선
1870003800,경부고속도로,경부고속도로
1850302200,벌곡로,고릿골구름다리
1870003912,신탄진로,회덕과선교
1840027100,문화로,문화육교
1840049400,중앙로,목척교
1870057601,덕암로,상서육교
1870362400,구즉세종로,와동육교(하)
1860199200,학하복용서로,화산제2교
1830024801,동대전로,대동교
1840057101,동서대로,현암교
1870007906,대덕대로,석봉육교
1870084101,석봉로,석봉구름다리
1840047201,중교로,중교
1860604901,갑천도시고속도로,카이스트교
1840026901,문화로,문화육교
1870088500,-,세월교
1860380900,진잠옛로,학하교
1830010202,계족로,가양교
1830492401,우암로,성남교
1860006800,호남고속도로지선,유성IC육교
1840055100,대전천서로,삼선교
1850078600,도산로,용문교
1830127900,동부로,용윤교
1860337100,호남고속도로지선,복용육교
1840185600,대전천서로,중교
1840185600,대전천서로,은행교
1840017501,신기로,석교
1830183701,통영대전고속도로,
